Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1940,7101668,291780564,298882232,93368,5143588,5236956,5394449,77271060,82665509,9567,4810166,4819733
30-Nov-1940,5608972,263398498,269007470,29336,9326045,9355382,5474106,74265890,79739996,8949,8546410,8555359
31-Dec-1940,67060478,430303469,497363947,3184256,5136345,8320601,87013729,49915640,136929369,991501,3042280,4033782
31-Jan-1941,613872270,561339365,1175211634,165766135,7027272,172793407,324561646,57677245,382238890,82938039,1857873,84795912
28-Feb-1941,574952962,559192548,1134145510,161149745,6979694,168129438,329871805,58196450,388068255,87680931,1820361,89501292
31-Mar-1941,263805512,495315093,759120604,19524878,6207454,25732333,287067919,56128281,343196201,20390625,3170265,23560890
30-Apr-1941,360082276,498660604,858742880,55642500,7066343,62708843,281092979,54671360,335764339,30970960,2840053,33811013
31-May-1941,16211272,363130528,379341800,1933166,4858135,6791302,21352588,58416804,79769393,2181299,2910687,5091986
30-Jun-1941,7830843,289923636,297754479,0,5073393,5073393,5112255,77697198,82809453,155774,5982399,6138173
31-Jul-1941,17589523,360181146,377770670,3294605,5209776,8504381,13316305,56319283,69635588,1324766,3136171,4460937
31-Aug-1941,7682894,308550430,316233324,551129,4364351,4915480,6546522,70428217,76974738,229023,4723842,4952865
30-Sep-1941,8612557,308597451,317210008,0,4229769,4229769,5849099,73097896,78946995,156342,4329641,4485983
31-Oct-1941,5987834,278277327,284265161,116859,7215050,7331909,5689347,75732549,81421896,9159,7856634,7865793
30-Nov-1941,7989566,302735151,310724716,0,4858114,4858114,5630333,74287391,79917724,156342,4438443,4594785
31-Dec-1941,205693843,485476065,691169909,13415039,5301162,18716201,209249570,60504164,269753735,8946833,2468083,11414916
31-Jan-1942,316187550,504373188,820560738,43310352,5655143,48965496,299945584,60002309,359947894,21120220,3175782,24296002
28-Feb-1942,685028760,576974954,1262003714,202269102,7215734,209484836,343053935,57195836,400249771,93910647,1599962,95510609
31-Mar-1942,10631769,323133162,333764930,109930,5989558,6099488,5577741,65896257,71473998,156515,4035398,4191913
