Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Dec-1944,2.36,4.62,0.03,0.06,2.39,4.68
Jan-1945,2.44,4.78,0.03,0.06,2.47,4.83
Feb-1945,2.23,4.38,0.06,0.12,2.29,4.5
Mar-1945,2.33,4.56,0.03,0.06,2.36,4.62
Apr-1945,2.35,4.62,0.03,0.06,2.38,4.67
May-1945,2.33,4.58,0.03,0.06,2.36,4.64
Jun-1945,2.37,4.67,0.03,0.06,2.39,4.72
Jul-1945,2.15,4.24,0.09,0.18,2.24,4.42
Aug-1945,2.45,4.81,0.06,0.12,2.51,4.93
Sep-1945,2.36,4.6,0.03,0.06,2.39,4.66
Oct-1945,2.46,4.78,0.03,0.06,2.49,4.84
Nov-1945,2.33,4.55,0.01,0.03,2.35,4.58
Dec-1945,1.67,3.31,0.76,1.42,2.43,4.73
Jan-1946,2.28,4.49,0.06,0.12,2.34,4.61
Feb-1946,2.37,4.63,0.03,0.06,2.39,4.69
Mar-1946,2.37,4.63,0.03,0.06,2.39,4.69
Apr-1946,2.27,4.43,0.03,0.06,2.3,4.49
May-1946,2.42,4.75,0.03,0.06,2.45,4.8
Jun-1946,2.37,4.67,0.03,0.06,2.4,4.73
Jul-1946,2.12,4.19,0.08,0.17,2.2,4.36
Aug-1946,2.42,4.77,0.06,0.12,2.48,4.89
Sep-1946,2.37,4.64,0.03,0.06,2.4,4.7
Oct-1946,2.41,4.7,0.01,0.03,2.43,4.73
Nov-1946,2.41,4.69,0.03,0.06,2.44,4.75
Dec-1946,2.37,4.63,0.03,0.06,2.39,4.69
Jan-1947,2.46,4.81,0.03,0.06,2.49,4.86
Feb-1947,2.37,4.65,0.03,0.06,2.4,4.71
Mar-1947,2.33,4.56,0.03,0.06,2.36,4.62
Apr-1947,2.37,4.63,0.03,0.06,2.39,4.69
May-1947,2.42,4.75,0.03,0.06,2.45,4.8
Jun-1947,2.33,4.6,0.06,0.11,2.38,4.72
Jul-1947,2.39,4.72,0.04,0.09,2.43,4.81
Aug-1947,2.3,4.49,0.03,0.06,2.33,4.55
Sep-1947,2.29,4.47,0.01,0.03,2.31,4.5
Oct-1947,2.39,4.66,0.03,0.06,2.42,4.72
Nov-1947,2.46,4.78,0.03,0.06,2.49,4.84
Dec-1947,2.36,4.61,0.03,0.06,2.39,4.67
Jan-1948,2.32,4.55,0.03,0.06,2.35,4.61
